ID,filename,sexe,date_accident,date_consolidation
770,Agen_1400036.txt,homme,2011-04-20,n.a.
771,Agen_20011399.txt,homme,1996-07-05,n.c.
772,Agen_21013.txt,homme,1989-05-11,n.c.
773,Agen_31076.txt,homme,1998-07-09,n.c.
774,Agen_3436.txt,homme,1999-05-28,2001-05-28
775,Agen_400518.txt,homme,1995-03-10,1999-05-26
776,Agen_51586.txt,homme,1995-08-12,2003-12-31
777,Agen_60001230.txt,femme,2004-04-28,n.c.
778,Agen_600507.txt,homme,2003-01-18,2004-01-19
779,Agen_600946.txt,femme,1997-03-08,n.c.
780,Agen_601230.txt,femme,2001-06-27,n.c.
781,Aix-en-Provence_103075.txt,femme,1949-03-19,1999-10-25
782,Aix-en-Provence_119417.txt,femme,1997-07-20,1999-07-20
783,Aix-en-Provence_1518823.txt,homme,2010-05-20,2010-05-27
784,Aix-en-Provence_200264.txt,femme,1996-07-20,1999-07-20
785,Aix-en-Provence_202313.txt,homme,1990-07-27,1992-07-27
786,Aix-en-Provence_205257.txt,femme,1997-09-10,1997-09-10
787,Aix-en-Provence_205526.txt,femme,n.c.,n.c.
788,Aix-en-Provence_208038.txt,homme,2007-09-04,n.c.
789,Aix-en-Provence_216102.txt,homme,1982-05-02,n.c.
790,Aix-en-Provence_219595.txt,homme,1995-10-12,1998-01-02
791,Aix-en-Provence_302882.txt,homme,1996-05-25,2000-04-13
792,Aix-en-Provence_312878.txt,femme,1996-10-22,1997-10-12
793,Aix-en-Provence_321022.txt,homme,1997-03-08,2001-07-31
794,Aix-en-Provence_514513.txt,homme,2001-11-09,2003-01-24
795,Aix-en-Provence_520670.txt,homme,2002-04-27,2002-10-23
796,Aix-en-Provence_522529.txt,femme,2001-11-26,2003-03-25
797,Aix-en-Provence_524164.txt,femme,1999-10-14,1999-11-18
798,Aix-en-Provence_59661.txt,homme,1995-04-10,1998-06-30
799,Aix-en-Provence_6005014.txt,homme,1997-07-17,n.c.
800,Aix-en-Provence_601239.txt,homme,1969-05-17,2004-03-31
801,Aix-en-Provence_602536.txt,homme,2002-01-18,2002-01-18
802,Aix-en-Provence_609072.txt,homme,2000-02-26,2000-09-26
803,Aix-en-Provence_614031.txt,femme,2002-07-27,n.c.
804,Aix-en-Provence_614346.txt,homme,1997-02-04,2000-02-04
805,Aix-en-Provence_614635.txt,femme,1999-12-31,1999-12-31
